examine,id,members,lowalch,limit,value,highalch,icon,name,price,last,volume
A shield with a heraldic design,7350,False,652,70,1632,979,Black shield (h4).png,Black shield (h4),2172,2172,28
A shield with a heraldic design,7352,False,2176,70,5440,3264,Adamant shield (h4).png,Adamant shield (h4),3215,3215,71
A shield with a heraldic design,7354,False,21760,70,54400,32640,Rune shield (h4).png,Rune shield (h4),36726,37699,106
A shield with a heraldic design,7356,False,652,70,1632,979,Black shield (h5).png,Black shield (h5),2550,2550,27
A shield with a heraldic design,7358,False,2176,70,5440,3264,Adamant shield (h5).png,Adamant shield (h5),3395,3434,45
A shield with a heraldic design,7360,False,21760,70,54400,32640,Rune shield (h5).png,Rune shield (h5),45449,44833,259
Those studs should provide a bit more protection. Nice trim too!,7362,False,340,8,850,510,Studded body (g).png,Studded body (g),13766,13260,93
Those studs should provide a bit more protection. Nice trim too!,7364,False,340,8,850,510,Studded body (t).png,Studded body (t),4683,4683,42
Those studs should provide a bit more protection. Nice trim too!,7366,False,300,8,750,450,Studded chaps (g).png,Studded chaps (g),13328,13328,84
Those studs should provide a bit more protection. Nice trim too!,7368,False,300,8,750,450,Studded chaps (t).png,Studded chaps (t),3691,3691,43
Made from 100% real dragonhide. With colourful trim!,7370,False,3120,8,7800,4680,Green d'hide body (g).png,Green d'hide body (g),4732,4704,251
Made from 100% real dragonhide. With colourful trim!,7372,False,3120,8,7800,4680,Green d'hide body (t).png,Green d'hide body (t),4341,4337,177
Made from 100% real dragonhide. With colourful trim!,7374,True,3744,8,9360,5616,Blue d'hide body (g).png,Blue d'hide body (g),6450,6304,70
Made from 100% real dragonhide. With colourful trim!,7376,True,3744,8,9360,5616,Blue d'hide body (t).png,Blue d'hide body (t),5289,5286,57
Made from 100% real dragonhide. With colourful trim!,7378,False,1560,8,3900,2340,Green d'hide chaps (g).png,Green d'hide chaps (g),41921,41914,456
Made from 100% real dragonhide. With colourful trim!,7380,False,1560,8,3900,2340,Green d'hide chaps (t).png,Green d'hide chaps (t),7028,7212,221
Made from 100% real dragonhide. With colourful trim!,7382,True,1728,8,4320,2592,Blue d'hide chaps (g).png,Blue d'hide chaps (g),5684,5768,138
Made from 100% real dragonhide. With colourful trim!,7384,True,1728,8,4320,2592,Blue d'hide chaps (t).png,Blue d'hide chaps (t),2087,2129,143
Leg covering favoured by women and wizards. With a colourful trim!,7386,False,1,4,2,1,Blue skirt (g).png,Blue skirt (g),21186,21186,85
Leg covering favoured by women and wizards. With a colourful trim!,7388,False,1,4,2,1,Blue skirt (t).png,Blue skirt (t),13930,13818,112
I can do magic better in this.,7390,False,6,4,15,9,Blue wizard robe (g).png,Blue wizard robe (g),130465,126721,223
I can do magic better in this.,7392,False,6,4,15,9,Blue wizard robe (t).png,Blue wizard robe (t),36605,36834,99
"A silly pointed hat, with colourful trim.",7394,False,1,4,2,1,Blue wizard hat (g).png,Blue wizard hat (g),193615,193767,169
"A silly pointed hat, with colourful trim.",7396,False,1,4,2,1,Blue wizard hat (t).png,Blue wizard hat (t),53755,53487,125
Enchanted Wizards robes.,7398,True,32000,8,80000,48000,Enchanted robe.png,Enchanted robe,51777,51459,305
Enchanted Wizards robes.,7399,True,48000,8,120000,72000,Enchanted top.png,Enchanted top,76218,74961,285
A three pointed hat of magic.,7400,True,6000,8,15000,9000,Enchanted hat.png,Enchanted hat,8798,8731,126
A mole claw.,7416,True,240,50,600,360,Mole claw.png,Mole claw,9608,9496,56222
The skin of a large mole.,7418,True,160,50,400,240,Mole skin.png,Mole skin,8514,8439,109878
Spoooooon!,7433,True,14,50,35,21,Wooden spoon.png,Wooden spoon,102,102,21
A large whisk of death.,7435,True,20,50,50,30,Egg whisk.png,Egg whisk,60,60,0
Use the spork.,7437,True,130,50,325,195,Spork.png,Spork,306,306,1
A large spatula... of doom!,7439,True,768,50,1920,1152,Spatula.png,Spatula,1551,1551,5
Looks like it's non-stick too!,7441,True,664,50,1660,996,Frying pan.png,Frying pan,1306,1306,1
Generally used for impaling fresh meat.,7443,True,1280,50,3200,1920,Skewer.png,Skewer,2173,2173,5
That's how I roll!,7445,True,5760,50,14400,8640,Rolling pin.png,Rolling pin,19757,19757,124
"A sharp, dependable knife, for filleting meat.",7447,True,3200,50,8000,4800,Kitchen knife.png,Kitchen knife,8042,8042,0
Often used to soften tough meat up.,7449,True,16600,50,41500,24900,Meat tenderiser.png,Meat tenderiser,26377,26377,5
An effective tool for chopping tough meat.,7451,True,10240,50,25600,15360,Cleaver.png,Cleaver,17367,17367,11
It's cornflour.,7466,False,1,15,1,1,Cornflour.png,Cornflour,33206,33206,0
It's cornflour in a pot.,7468,True,4,15,10,6,Pot of cornflour.png,Pot of cornflour,1156,1129,316
Nice and tasty!,7521,True,20,6000,50,30,Cooked crab meat 5.png,Cooked crab meat,1493,1493,39
The uncooked meat of a Jubbly bird.,7566,True,40,11000,100,60,Raw jubbly.png,Raw jubbly,412,412,1716
Lovely Jubbly!,7568,True,60,10000,150,90,Cooked jubbly.png,Cooked jubbly,1155,1155,23
It's ground up silver.,7650,True,80,13000,200,120,Silver dust.png,Silver dust,558,588,266
"A potion of harralander, red spiders eggs, garlic and silver dust.",7660,True,80,2000,200,120,Guthix balance(4).png,Guthix balance(4),313,313,162
"A potion of harralander, red spiders eggs, garlic and silver dust.",7662,True,80,2000,200,120,Guthix balance(3).png,Guthix balance(3),98,98,109
"A potion of harralander, red spiders eggs, garlic and silver dust.",7664,True,80,2000,200,120,Guthix balance(2).png,Guthix balance(2),482,482,0
"A potion of harralander, red spiders eggs, garlic and silver dust.",7666,True,80,2000,200,120,Guthix balance(1).png,Guthix balance(1),273,273,0
A specially crafted hammer with strange markings on it.,7668,True,1200,8,3000,1800,Gadderhammer.png,Gadderhammer,2738,2738,228
Nice bit of crafting!,7759,True,4,150,10,6,Toy soldier.png,Toy soldier,2390,2390,33
Nice bit of crafting!,7761,True,4,150,10,6,Toy soldier.png,Toy soldier (wound),3569,3569,2
Nice bit of crafting!,7763,True,4,150,10,6,Toy doll.png,Toy doll,2704,2704,27
Nice bit of crafting!,7765,True,4,150,10,6,Toy doll.png,Toy doll (wound),3880,3880,0
Nice bit of crafting!,7767,True,4,150,10,6,Toy mouse.png,Toy mouse,2096,2096,59
Nice bit of crafting!,7769,True,4,150,10,6,Toy mouse.png,Toy mouse (wound),3878,3878,24
Nice bit of crafting!,7771,True,4,150,10,6,Toy cat.png,Toy cat,3570,3721,1335
Scaly but not slimy!,7801,True,14,11000,35,21,Snake hide (swamp).png,Snake hide (swamp),263,263,103
A very good vintage.,7919,True,200,10000,500,300,Bottle of wine.png,Bottle of wine,782,782,258
An unimbued rune of extra capability.,7936,False,1,30000,4,2,Pure essence.png,Pure essence,1,1,304347014
A word in your shell-like.,7939,True,400,7500,1000,600,Tortoise shell.png,Tortoise shell,7897,7897,126
I should try cooking this.,7944,True,92,13000,230,138,Raw monkfish.png,Raw monkfish,217,215,2841531
A tasty fish.,7946,True,92,13000,230,138,Monkfish.png,Monkfish,409,405,2440139
A teleport to Varrock.,8007,True,1,15000,1,1,Varrock teleport (tablet).png,Varrock teleport (tablet),541,552,635485
A teleport to Lumbridge.,8008,True,1,10000,1,1,Lumbridge teleport (tablet).png,Lumbridge teleport (tablet),525,510,182127
A teleport to Falador.,8009,True,1,10000,1,1,Falador teleport (tablet).png,Falador teleport (tablet),440,444,248214
A teleport to Camelot.,8010,True,1,15000,1,1,Camelot teleport (tablet).png,Camelot teleport (tablet),464,471,281839
A teleport to East Ardougne.,8011,True,1,10000,1,1,Ardougne teleport (tablet).png,Ardougne teleport (tablet),368,369,257250
A teleport to the Yanille Watchtower.,8012,True,1,10000,1,1,Watchtower teleport (tablet).png,Watchtower teleport (tablet),516,544,95712
A teleport to one's own house.,8013,True,1,15000,1,1,Teleport to house (tablet).png,Teleport to house (tablet),500,512,2980588
A tablet containing a magic spell.,8014,True,1,10000,1,1,Bones to bananas (tablet).png,Bones to bananas (tablet),532,532,21334
A tablet containing a magic spell.,8015,True,1,10000,1,1,Bones to peaches (tablet).png,Bones to peaches (tablet),663,663,396725
A tablet containing a magic spell.,8016,True,1,10000,1,1,Enchant sapphire or opal.png,Enchant sapphire or opal,126,126,493
A tablet containing a magic spell.,8017,True,1,10000,1,1,Enchant emerald or jade.png,Enchant emerald or jade,581,581,93
A tablet containing a magic spell.,8018,True,1,10000,1,1,Enchant ruby or topaz.png,Enchant ruby or topaz,797,797,7056
A tablet containing a magic spell.,8019,True,1,10000,1,1,Enchant diamond.png,Enchant diamond,363,363,19
A tablet containing a magic spell.,8020,True,1,10000,1,1,Enchant dragonstone.png,Enchant dragonstone,252,252,215
A tablet containing a magic spell.,8021,True,1,10000,1,1,Enchant onyx.png,Enchant onyx,539,539,1369
You can plant this in your garden.,8417,True,400,10000,1000,600,Bagged dead tree.png,Bagged dead tree,1355,1355,59
You can plant this in your garden.,8419,True,800,10000,2000,1200,Bagged nice tree.png,Bagged nice tree,3117,3117,6664
You can plant this in your garden.,8421,True,2000,10000,5000,3000,Bagged oak tree.png,Bagged oak tree,6664,6664,1288
You can plant this in your garden.,8423,True,4000,10000,10000,6000,Bagged willow tree.png,Bagged willow tree,11835,11835,3636
You can plant this in your garden.,8425,True,6000,10000,15000,9000,Bagged maple tree.png,Bagged maple tree,17128,17128,2843
You can plant this in your garden.,8427,True,8000,10000,20000,12000,Bagged yew tree.png,Bagged yew tree,22142,22142,917
You can plant this in your garden.,8429,True,20000,10000,50000,30000,Bagged magic tree.png,Bagged magic tree,54449,54449,1022
You can plant this in your garden.,8431,True,400,10000,1000,600,Bagged plant 1.png,Bagged plant 1,1856,1856,90945
You can plant this in your garden.,8433,True,2000,10000,5000,3000,Bagged plant 2.png,Bagged plant 2,5932,5932,4883
You can plant this in your garden.,8435,True,4000,10000,10000,6000,Bagged plant 3.png,Bagged plant 3,12262,12262,17173
You can plant this in your garden.,8437,True,2000,10000,5000,3000,Thorny hedge (bagged).png,Thorny hedge (bagged),5477,5432,3
You can plant this in your garden.,8439,True,4000,10000,10000,6000,Nice hedge (bagged).png,Nice hedge (bagged),11415,11415,3
You can plant this in your garden.,8441,True,6000,10000,15000,9000,Small box hedge (bagged).png,Small box hedge (bagged),15929,15929,23
You can plant this in your garden.,8443,True,8000,10000,20000,12000,Topiary hedge (bagged).png,Topiary hedge (bagged),25004,25004,105
You can plant this in your garden.,8445,True,10000,10000,25000,15000,Fancy hedge (bagged).png,Fancy hedge (bagged),26485,26485,7
You can plant this in your garden.,8447,True,20000,10000,50000,30000,Tall fancy hedge (bagged).png,Tall fancy hedge (bagged),47195,47195,9
You can plant this in your garden.,8449,True,40000,10000,100000,60000,Tall box hedge (bagged).png,Tall box hedge (bagged),109287,109287,104
You can plant this in your garden.,8451,True,2000,10000,5000,3000,Bagged flower.png,Bagged flower,5879,5879,6
You can plant this in your garden.,8453,True,4000,10000,10000,6000,Bagged daffodils.png,Bagged daffodils,10991,10991,34
You can plant this in your garden.,8455,True,6000,10000,15000,9000,Bagged bluebells.png,Bagged bluebells,16438,16438,61
You can plant this in your garden.,8457,True,2000,10000,5000,3000,Bagged sunflower.png,Bagged sunflower,6114,6114,36
You can plant this in your garden.,8459,True,4000,10000,10000,6000,Bagged marigolds.png,Bagged marigolds,11043,11043,38
You can plant this in your garden.,8461,True,6000,10000,15000,9000,Bagged roses.png,Bagged roses,17526,17526,62
How does it all fit in there?,8496,True,4,500,10,6,Crude chair (flatpack).png,Crude chair (flatpack),609,600,173
How does it all fit in there?,8498,True,4,500,10,6,Wooden chair (flatpack).png,Wooden chair (flatpack),818,818,77
How does it all fit in there?,8500,True,4,500,10,6,Rocking chair (flatpack).png,Rocking chair (flatpack),53,53,15
How does it all fit in there?,8502,True,4,500,10,6,Oak chair (flatpack).png,Oak chair (flatpack),96,96,80
How does it all fit in there?,8504,True,4,500,10,6,Oak armchair (flatpack).png,Oak armchair (flatpack),38,38,11
How does it all fit in there?,8506,True,4,500,10,6,Teak armchair (flatpack).png,Teak armchair (flatpack),31,31,9
How does it all fit in there?,8508,True,4,500,10,6,Mahogany armchair (flatpack).png,Mahogany armchair (flatpack),100,100,5
How does it all fit in there?,8510,True,4,500,10,6,Bookcase (flatpack).png,Bookcase (flatpack),26,26,17
How does it all fit in there?,8512,True,4,500,10,6,Oak bookcase (flatpack).png,Oak bookcase (flatpack),10,10,6
How does it all fit in there?,8514,True,4,500,10,6,Mahogany bookcase (flatpack).png,Mahogany bookcase (flatpack),5,5,15
How does it all fit in there?,8516,True,4,500,10,6,Beer barrel (flatpack).png,Beer barrel (flatpack),54,54,0
How does it all fit in there?,8518,True,4,500,10,6,Cider barrel (flatpack).png,Cider barrel (flatpack),12486,12486,0
How does it all fit in there?,8520,True,4,500,10,6,Asgarnian ale (flatpack).png,Asgarnian ale (flatpack),9166,9166,0
How does it all fit in there?,8522,True,4,500,10,6,Greenman's ale (flatpack).png,Greenman's ale (flatpack),14679,14679,4
How does it all fit in there?,8524,True,4,500,10,6,Dragon bitter (flatpack).png,Dragon bitter (flatpack),330,330,0
How does it all fit in there?,8526,True,4,500,10,6,Chef's delight (flatpack).png,Chef's delight (flatpack),18399,18399,10
How does it all fit in there?,8528,True,4,500,10,6,Kitchen table (flatpack).png,Kitchen table (flatpack),1,1,4
How does it all fit in there?,8530,True,4,500,10,6,Oak kitchen table (flatpack).png,Oak kitchen table (flatpack),14,14,4
How does it all fit in there?,8532,True,4,500,10,6,Teak kitchen table (flatpack).png,Teak kitchen table (flatpack),51,51,1
How does it all fit in there?,8548,True,4,500,10,6,Wood dining table (flatpack).png,Wood dining table (flatpack),2,2,39
How does it all fit in there?,8550,True,4,500,10,6,Oak dining table (flatpack).png,Oak dining table (flatpack),8,8,2
How does it all fit in there?,8552,True,4,500,10,6,Carved oak table (flatpack).png,Carved oak table (flatpack),1,1,82
How does it all fit in there?,8554,True,4,500,10,6,Teak table (flatpack).png,Teak table (flatpack),1,1,33
How does it all fit in there?,8556,True,4,500,10,6,Carved teak table (flatpack).png,Carved teak table (flatpack),316,316,1
How does it all fit in there?,8558,True,4,500,10,6,Mahogany table (flatpack).png,Mahogany table (flatpack),6,6,487
How does it all fit in there?,8560,True,4,500,10,6,Opulent table (flatpack).png,Opulent table (flatpack),63121,63121,0
How does it all fit in there?,8562,True,4,500,10,6,Wooden bench (flatpack).png,Wooden bench (flatpack),28,28,1
How does it all fit in there?,8564,True,4,500,10,6,Oak bench (flatpack).png,Oak bench (flatpack),96,96,0
How does it all fit in there?,8566,True,4,500,10,6,Carved oak bench (flatpack).png,Carved oak bench (flatpack),12,12,5
How does it all fit in there?,8568,True,4,500,10,6,Teak dining bench (flatpack).png,Teak dining bench (flatpack),124,124,0
How does it all fit in there?,8570,True,4,500,10,6,Carved teak bench (flatpack).png,Carved teak bench (flatpack),120,120,1
How does it all fit in there?,8572,True,4,500,10,6,Mahogany bench (flatpack).png,Mahogany bench (flatpack),96,96,2
How does it all fit in there?,8574,True,4,500,10,6,Gilded bench (flatpack).png,Gilded bench (flatpack),417568,417568,0
How does it all fit in there?,8576,True,4,500,10,6,Wooden bed (flatpack).png,Wooden bed (flatpack),921,921,0
How does it all fit in there?,8578,True,4,500,10,6,Oak bed (flatpack).png,Oak bed (flatpack),3523,3523,0
How does it all fit in there?,8580,True,4,500,10,6,Large oak bed (flatpack).png,Large oak bed (flatpack),519,519,0
How does it all fit in there?,8582,True,4,500,10,6,Teak bed (flatpack).png,Teak bed (flatpack),2021,2021,4
How does it all fit in there?,8584,True,4,500,10,6,Large teak bed (flatpack).png,Large teak bed (flatpack),3618,3618,2
How does it all fit in there?,8586,True,4,500,10,6,Four-poster bed (flatpack).png,Four-poster bed (flatpack),5733,5733,7
How does it all fit in there?,8588,True,4,500,10,6,Gilded four-poster (flatpack).png,Gilded four-poster (flatpack),101871,101871,0
How does it all fit in there?,8590,True,4,500,10,6,Oak clock (flatpack).png,Oak clock (flatpack),327,327,1
How does it all fit in there?,8592,True,4,500,10,6,Teak clock (flatpack).png,Teak clock (flatpack),1814,1814,1
How does it all fit in there?,8594,True,4,500,10,6,Gilded clock (flatpack).png,Gilded clock (flatpack),14222,14222,0
How does it all fit in there?,8596,True,4,500,10,6,Shaving stand (flatpack).png,Shaving stand (flatpack),13,13,0
How does it all fit in there?,8598,True,4,500,10,6,Oak shaving stand (flatpack).png,Oak shaving stand (flatpack),85,85,9
How does it all fit in there?,8600,True,4,500,10,6,Oak dresser (flatpack).png,Oak dresser (flatpack),140,140,1
How does it all fit in there?,8602,True,4,500,10,6,Teak dresser (flatpack).png,Teak dresser (flatpack),168,168,0
How does it all fit in there?,8604,True,4,500,10,6,Fancy teak dresser (flatpack).png,Fancy teak dresser (flatpack),337,337,0
How does it all fit in there?,8606,True,4,500,10,6,Mahogany dresser (flatpack).png,Mahogany dresser (flatpack),2155,2155,3
How does it all fit in there?,8608,True,4,500,10,6,Gilded dresser (flatpack).png,Gilded dresser (flatpack),67626,67626,0
How does it all fit in there?,8610,True,4,500,10,6,Shoe box (flatpack).png,Shoe box (flatpack),5,5,1
How does it all fit in there?,8612,True,4,500,10,6,Oak drawers (flatpack).png,Oak drawers (flatpack),32,32,0
How does it all fit in there?,8614,True,4,500,10,6,Oak wardrobe (flatpack).png,Oak wardrobe (flatpack),10,10,1
How does it all fit in there?,8616,True,4,500,10,6,Teak drawers (flatpack).png,Teak drawers (flatpack),98,98,0
How does it all fit in there?,8618,True,4,500,10,6,Teak wardrobe (flatpack).png,Teak wardrobe (flatpack),154,154,0
How does it all fit in there?,8620,True,4,500,10,6,Mahogany wardrobe (flatpack).png,Mahogany wardrobe (flatpack),1357,1357,0
How does it all fit in there?,8622,True,4,500,10,6,Gilded wardrobe (flatpack).png,Gilded wardrobe (flatpack),99704,99704,0
How does it all fit in there?,8624,True,4,500,10,6,Crystal ball (flatpack).png,Crystal ball (flatpack),261,261,0
How does it all fit in there?,8626,True,4,500,10,6,Elemental sphere (flatpack).png,Elemental sphere (flatpack),906,906,0
How does it all fit in there?,8628,True,4,500,10,6,Crystal of power (flatpack).png,Crystal of power (flatpack),6368,6368,0
A plank of sturdy oak.,8778,True,100,13000,250,150,Oak plank.png,Oak plank,551,568,7502921
A plank of fine teak.,8780,True,200,13000,500,300,Teak plank.png,Teak plank,994,1018,4345026
A plank of expensive mahogany.,8782,True,600,13000,1500,900,Mahogany plank.png,Mahogany plank,2228,2275,13653073
A very delicate sheet of gold.,8784,True,40000,11000,100000,60000,Gold leaf.png,Gold leaf,139422,139277,6350
A beautifully carved marble block.,8786,True,100000,11000,250000,150000,Marble block.png,Marble block,336868,336868,4944
A magic stone to make high-level furniture.,8788,True,300000,11000,750000,450000,Magic stone.png,Magic stone,994991,990721,787
A bolt of ordinary cloth.,8790,True,200,13000,500,300,Bolt of cloth.png,Bolt of cloth,922,917,63629
A clockwork mechanism.,8792,True,200,11000,500,300,Clockwork.png,Clockwork,957,928,108297
Good for cutting wood.,8794,True,4,40,10,6,Saw.png,Saw,378,366,1911
"A hefty beam of timber, perfect for building temples.",8837,True,1,13000,1,1,Timber beam.png,Timber beam,702,707,6856
A powerful dagger.,8872,True,800,70,2000,1200,Bone dagger.png,Bone dagger,3790,3657,1091
A powerful dagger.,8874,True,800,70,2000,1200,Bone dagger (p).png,Bone dagger (p),4424,4424,2
A powerful dagger.,8876,True,800,70,2000,1200,Bone dagger (p+).png,Bone dagger (p+),5398,5398,1
A powerful dagger.,8878,True,800,70,2000,1200,Bone dagger (p++).png,Bone dagger (p++),8492,8168,128
This fires crossbow bolts.,8880,True,800,70,2000,1200,Dorgeshuun crossbow.png,Dorgeshuun crossbow,2797,2807,321
Good if you have a bone crossbow!,8882,True,1,11000,3,1,Bone bolts 5.png,Bone bolts,6,6,2241601
A magic cave horror mask.,8901,True,1200,70,3000,1800,Black mask (10).png,Black mask (10),1216914,1220454,846
An inert-seeming cave horror mask.,8921,True,1200,70,3000,1800,Black mask.png,Black mask,1242366,1273501,1560
Essential pirate wear.,8924,True,40,150,100,60,Bandana eyepatch (white).png,Bandana eyepatch (white),614,614,0
Essential pirate wear.,8925,True,40,150,100,60,Bandana eyepatch (red).png,Bandana eyepatch (red),537,537,19
Essential pirate wear.,8926,True,40,150,100,60,Bandana eyepatch (blue).png,Bandana eyepatch (blue),494,494,6
Essential pirate wear.,8927,True,40,150,100,60,Bandana eyepatch (brown).png,Bandana eyepatch (brown),1716,1716,1
Essential pirate wear.,8928,True,40,150,100,60,Hat eyepatch.png,Hat eyepatch,55030,55030,3
WARNING: Contains information which could make your account secure!,9003,False,1,15,2,1,Security book.png,Security book,92,92,962
Information regarding the Stronghold of Security.,9004,False,1,15,2,1,Stronghold notes.png,Stronghold notes,255,255,235
Gets knots and kinks out of your hair.,9026,True,4,13000,10,6,Ivory comb.png,Ivory comb,641,652,104
Little ornament in the shape of a scarab.,9028,True,12,13000,30,18,Golden scarab.png,Golden scarab,998,1003,43563
Little ornament in the shape of a scarab.,9030,True,8,13000,20,12,Stone scarab.png,Stone scarab,182,178,102650
Little ornament in the shape of a scarab.,9032,True,4,13000,10,6,Pottery scarab.png,Pottery scarab,82,82,10337
A small golden statuette.,9034,True,12,13000,30,18,Golden statuette.png,Golden statuette,1325,1325,10487
A small statuette.,9036,True,4,13000,10,6,Pottery statuette.png,Pottery statuette,90,90,35091
A small statuette.,9038,True,8,13000,20,12,Stone statuette.png,Stone statuette,195,198,104446
A seal. It's gold.,9040,True,12,13000,30,18,Gold seal.png,Gold seal,747,751,72479
A seal. Made out of stone obviously.,9042,True,8,13000,20,12,Stone seal.png,Stone seal,149,149,59126
"Delicious and nutritious. Well, nutritious anyway.",9052,True,1,6000,1,1,Locust meat.png,Locust meat,38,38,35
Used for Lunar spells.,9075,True,20,15000,50,30,Astral rune.png,Astral rune,122,122,25024194
Iron crossbow bolts.,9140,True,1,7000,2,1,Iron bolts 5.png,Iron bolts,8,8,188508
Steel crossbow bolts.,9141,True,3,7000,8,4,Steel bolts 5.png,Steel bolts,54,54,148964
Mithril crossbow bolts.,9142,True,8,7000,20,12,Mithril bolts 5.png,Mithril bolts,59,61,1266894
Adamantite crossbow bolts.,9143,True,23,11000,58,34,Adamant bolts 5.png,Adamant bolts,15,15,14296115
Runite crossbow bolts.,9144,True,120,11000,300,180,Runite bolts 5.png,Runite bolts,50,51,12648300
Silver crossbow bolts.,9145,True,2,11000,5,3,Silver bolts 5.png,Silver bolts,5,5,57591
A bronze crossbow.,9174,True,29,125,73,43,Bronze crossbow.png,Bronze crossbow,755,755,905
An iron crossbow.,9177,True,62,125,157,94,Iron crossbow.png,Iron crossbow,457,457,94
A steel crossbow.,9179,True,144,125,360,216,Steel crossbow.png,Steel crossbow,221,217,54
A mithril crossbow.,9181,True,313,125,783,469,Mithril crossbow.png,Mithril crossbow,1290,1290,1756
An adamantite crossbow.,9183,True,706,70,1767,1060,Adamant crossbow.png,Adamant crossbow,2782,2661,1146
A runite crossbow.,9185,True,6480,70,16200,9720,Rune crossbow.png,Rune crossbow,10608,10474,16570
Jade bolt tips.,9187,True,4,11000,10,6,Jade bolt tips 5.png,Jade bolt tips,13,12,11877
Red Topaz bolt tips.,9188,True,5,11000,13,7,Topaz bolt tips 5.png,Topaz bolt tips,253,253,102433
Sapphire bolt tips.,9189,True,6,11000,17,10,Sapphire bolt tips 5.png,Sapphire bolt tips,12,12,460112
Emerald bolt tips.,9190,True,13,11000,33,19,Emerald bolt tips 5.png,Emerald bolt tips,51,52,808463
Ruby bolt tips.,9191,True,26,11000,67,40,Ruby bolt tips 5.png,Ruby bolt tips,94,95,3380257
Diamond bolt tips.,9192,True,53,11000,133,79,Diamond bolt tips 5.png,Diamond bolt tips,163,163,4166497
Dragonstone bolt tips.,9193,True,266,11000,667,400,Dragonstone bolt tips 5.png,Dragonstone bolt tips,944,972,2148899
Onyx bolt tips.,9194,True,400,11000,1000,600,Onyx bolt tips 5.png,Onyx bolt tips,8665,8737,761248
Enchanted Opal tipped Bronze Crossbow Bolts.,9236,True,2,11000,7,4,Opal bolts (e) 5.png,Opal bolts (e),3,3,31849
Enchanted Pearl tipped Iron Crossbow Bolts.,9238,True,6,11000,15,9,Pearl bolts (e) 5.png,Pearl bolts (e),4,4,89212
Enchanted Red Topaz tipped Steel Crossbow Bolts.,9239,True,9,11000,24,14,Topaz bolts (e) 5.png,Topaz bolts (e),3,3,215522
Enchanted Sapphire tipped Mithril Crossbow Bolts.,9240,True,16,11000,40,24,Sapphire bolts (e) 5.png,Sapphire bolts (e),18,19,266173
Enchanted Emerald tipped Mithril Crossbow Bolts.,9241,True,23,11000,59,35,Emerald bolts (e) 5.png,Emerald bolts (e),13,13,1004792
Enchanted Ruby tipped Adamantite Crossbow Bolts.,9242,True,55,11000,138,82,Ruby bolts (e) 5.png,Ruby bolts (e),46,45,3729068
Enchanted Diamond tipped Adamantite Crossbow Bolts.,9243,True,84,11000,211,126,Diamond bolts (e) 5.png,Diamond bolts (e),57,56,6597538
Enchanted Dragonstone tipped Runite Crossbow Bolts.,9244,True,425,11000,1063,637,Dragonstone bolts (e) 5.png,Dragonstone bolts (e),445,434,3931762
Enchanted Onyx tipped Runite Crossbow Bolts.,9245,True,6000,11000,15000,9000,Onyx bolts (e) 5.png,Onyx bolts (e),8719,8719,984839
Some poisoned iron bolts.,9287,True,1,11000,2,1,Iron bolts (p) 5.png,Iron bolts (p),215,215,1836
Some poisoned steel bolts.,9288,True,3,11000,8,4,Steel bolts (p) 5.png,Steel bolts (p),181,181,421
Some poisoned mithril bolts.,9289,True,8,11000,20,12,Mithril bolts (p) 5.png,Mithril bolts (p),248,248,500
Some poisoned adamantite bolts.,9290,True,23,11000,58,34,Adamant bolts (p) 5.png,Adamant bolts (p),194,194,7647
Some poisoned runite bolts.,9291,True,120,11000,300,180,Runite bolts (p) 5.png,Runite bolts (p),228,228,5252
Some poisoned silver bolts.,9292,True,2,11000,5,3,Silver bolts (p) 5.png,Silver bolts (p),48,48,0
Some poisoned iron bolts.,9294,True,1,11000,2,1,Iron bolts (p+) 5.png,Iron bolts (p+),318,318,1000
Some poisoned steel bolts.,9295,True,3,11000,8,4,Steel bolts (p+) 5.png,Steel bolts (p+),265,265,2
Some poisoned mithril bolts.,9296,True,8,11000,20,12,Mithril bolts (p+) 5.png,Mithril bolts (p+),528,528,20
Some poisoned adamantite bolts.,9297,True,23,11000,58,34,Adamant bolts (p+) 5.png,Adamant bolts (p+),443,443,1404
Some poisoned runite bolts.,9298,True,120,11000,300,180,Runite bolts (p+) 5.png,Runite bolts (p+),463,463,18759
Some poisoned silver bolts.,9299,True,2,11000,5,3,Silver bolts (p+) 5.png,Silver bolts (p+),127,127,0
Super poisoned iron bolts.,9301,True,1,11000,2,1,Iron bolts (p++) 5.png,Iron bolts (p++),860,860,0
Super poisoned steel bolts.,9302,True,3,11000,8,4,Steel bolts (p++) 5.png,Steel bolts (p++),896,896,20
Super poisoned mithril bolts.,9303,True,8,11000,20,12,Mithril bolts (p++) 5.png,Mithril bolts (p++),1397,1397,0
Super poisoned adamantite bolts.,9304,True,23,11000,58,34,Adamant bolts (p++) 5.png,Adamant bolts (p++),1258,1258,1657
Super poisoned runite bolts.,9305,True,120,11000,300,180,Runite bolts (p++) 5.png,Runite bolts (p++),1225,1225,3631
Some poisoned silver bolts.,9306,True,2,11000,5,3,Silver bolts (p++) 5.png,Silver bolts (p++),160,160,0
Topaz tipped Steel crossbow bolts.,9336,True,8,11000,22,13,Topaz bolts 5.png,Topaz bolts,334,347,191257
Sapphire tipped Mithril crossbow bolts.,9337,True,14,11000,37,22,Sapphire bolts 5.png,Sapphire bolts,89,90,281896
Emerald tipped Mithril crossbow bolts.,9338,True,21,11000,53,31,Emerald bolts 5.png,Emerald bolts,128,132,716969
